"","GCI.total.c","GCI.PP.total.c","SexDes.total.a","GMSEX.total.a","SCS.total.a","SCS.total.c","CS.total.a","CS.total.c","BFI.extraversion.c","BFI.agreeable.c","BFI.conscientious.c","BFI.negative.c","BFI.open.c","AnxAttch.c","AvoAttch.c","Narc.c","Gender","d_men","d_women","GCI_1","GCI_2","GCI_3","GCI_4","GCI_5","GCI_6","SCS_1","SCS_2_R","SCS_3","SCS_4_R","SCS_5","SCS_6","BFI_1","BFI_2_R","BFI_3_R","BFI_4","BFI_5","BFI_6","BFI_7_R","BFI_8_R","BFI_9_R","BFI_10_R","BFI_11","BFI_12","GMSEX_1","GMSEX_2","GMSEX_3","GMSEX_4","GMSEX_5","SexDes_1","SexDes_2"
"1",-0.956416464891042,-4.07990314769976,3,6,3.16666666666667,2.48910411622276,9.9,17.3002421307506,-5.00242130750605,2.90314769975787,2.72881355932203,-9.81113801452784,2.77966101694916,-9.6682808716707,-4.04600484261501,-8.5544794188862,-1,0,1,4,2,2,5,4,4,3,3,3,3,3,4,1,1,2,2,2,2,4,2,4,4,3,4,6,6,6,6,6,3,3
"2",-10.956416464891,-4.07990314769976,3,2.8,3,1.48910411622276,10.1,19.3002421307506,-11.0024213075061,-17.0968523002421,-3.27118644067797,9.18886198547216,-5.22033898305084,7.3317191283293,3.95399515738499,-7.5544794188862,1,1,0,2,2,2,2,2,1,3,3,3,3,3,3,1,3,1,4,4,3,1,2,2,2,1,1,2,3,4,1,4,3,3
"3",5.04358353510896,1.92009685230024,3.5,5.6,3,1.48910411622276,8.6,4.3002421307506,3.99757869249395,6.90314769975787,9.72881355932203,-0.811138014527842,5.77966101694916,-2.6682808716707,-2.04600484261501,-2.5544794188862,-1,0,1,4,4,5,4,5,5,3,3,3,3,2,4,3,2,2,4,4,4,5,5,4,1,2,4,4,6,6,6,6,4,3
"4",3.04358353510896,6.92009685230024,2,7,2.66666666666667,-0.510895883777241,10.1,19.3002421307506,4.99757869249395,11.9031476997579,-1.27118644067797,-18.8111380145278,-0.220338983050844,-2.6682808716707,-8.04600484261501,-7.5544794188862,-1,0,1,4,3,4,4,5,5,4,2,2,1,3,4,4,2,2,3,3,4,4,4,4,5,2,4,7,7,7,7,7,2,2
"5",7.04358353510896,6.92009685230024,5,7,2.83333333333333,0.489104116222759,7.3,-8.6997578692494,13.9975786924939,5.90314769975787,1.72881355932203,-11.8111380145278,-2.22033898305084,-1.6682808716707,-8.04600484261501,9.4455205811138,1,1,0,4,5,5,5,5,5,2,NA,NA,NA,NA,NA,5,4,3,4,4,5,4,3,4,4,5,5,7,7,7,7,7,5,5
"6",-2.95641646489104,-4.07990314769976,5,7,3.16666666666667,2.48910411622276,9.9,17.3002421307506,-14.0024213075061,11.9031476997579,-7.27118644067797,19.1888619854722,-1.22033898305084,1.3317191283293,-8.04600484261501,-9.5544794188862,-1,0,1,1,2,1,5,5,5,4,3,3,3,2,4,1,1,1,2,1,1,2,1,3,4,2,3,7,7,7,7,7,5,5
"7",-2.95641646489104,-9.07990314769976,3,5.2,2.66666666666667,-0.510895883777241,8,-1.6997578692494,-9.00242130750605,0.903147699757866,-0.271186440677965,-5.81113801452784,8.77966101694916,4.3317191283293,-0.0460048426150124,-1.5544794188862,-1,0,1,2,2,3,5,4,3,3,2,3,1,3,4,2,2,2,2,2,2,2,2,3,4,2,2,5,5,5,5,6,3,3
"8",-2.95641646489104,-7.07990314769976,2.5,2.4,2.33333333333333,-2.51089588377724,6.8,-13.6997578692494,0.997578692493946,-3.09685230024213,0.728813559322035,4.18886198547216,-3.22033898305084,5.3317191283293,5.95399515738499,0.445520581113801,-1,0,1,3,3,2,4,3,4,3,1,3,2,2,3,3,3,5,2,4,2,2,2,2,4,4,4,2,3,2,3,2,2,3
"9",-1.95641646489104,4.92009685230024,2.5,6.4,2.83333333333333,0.489104116222759,8.5,3.3002421307506,-1.00242130750605,1.90314769975787,-1.27118644067797,15.1888619854722,3.77966101694916,0.331719128329297,3.95399515738499,-4.5544794188862,-1,0,1,4,2,4,3,3,4,3,0,4,2,4,4,1,2,2,3,2,2,3,5,4,1,5,5,6,6,6,7,7,3,2
"10",8.04358353510896,-1.07990314769976,5,7,3.66666666666667,5.48910411622276,9.8,16.3002421307506,17.9975786924939,1.90314769975787,3.72881355932203,-8.81113801452784,11.7796610169492,-4.6682808716707,-8.04600484261501,10.4455205811138,-1,0,1,5,5,5,5,5,5,4,4,4,4,2,4,5,4,5,4,5,5,5,5,5,3,4,4,7,7,7,7,7,5,5
"11",-1.95641646489104,6.92009685230024,3,7,2.83333333333333,0.489104116222759,9.1,9.3002421307506,-2.00242130750605,-1.09685230024213,-7.27118644067797,4.18886198547216,-1.22033898305084,6.3317191283293,5.95399515738499,-5.5544794188862,-1,0,1,2,2,4,4,4,4,3,3,3,2,3,3,4,2,1,4,2,2,2,2,2,5,4,4,7,7,7,7,7,3,3
"12",3.04358353510896,3.92009685230024,4,7,3.5,4.48910411622276,9.6,14.3002421307506,6.99757869249395,0.903147699757866,-9.27118644067797,3.18886198547216,11.7796610169492,1.3317191283293,-6.04600484261501,4.4455205811138,-1,0,1,3,4,4,4,5,5,3,3,4,4,3,4,4,2,2,5,2,4,4,4,4,4,4,4,7,7,7,7,7,4,4
"13",7.04358353510896,4.92009685230024,4,6.4,2.33333333333333,-2.51089588377724,7,-11.6997578692494,-0.0024213075060544,-10.0968523002421,-1.27118644067797,0.188861985472158,-11.2203389830508,13.3317191283293,9.95399515738499,10.4455205811138,1,1,0,5,4,5,5,5,5,4,1,3,0,3,3,5,1,1,5,5,5,1,1,1,1,5,5,7,6,6,7,6,5,3
"14",-4.95641646489104,-7.07990314769976,5,7,1.16666666666667,-9.51089588377724,5.2,-29.6997578692494,-1.00242130750605,-9.09685230024213,-0.271186440677965,1.18886198547216,-11.2203389830508,-6.6682808716707,-4.04600484261501,-0.554479418886199,1,1,0,1,3,4,2,2,5,3,0,0,0,2,2,3,3,2,5,2,2,4,4,3,2,3,2,7,7,7,7,7,5,5
"15",3.04358353510896,-5.07990314769976,2,4,1.66666666666667,-6.51089588377724,10,18.3002421307506,-9.00242130750605,8.90314769975787,-8.27118644067797,-0.811138014527842,12.7796610169492,-8.6682808716707,-4.04600484261501,0.445520581113801,-1,0,1,4,4,4,4,4,5,3,1,1,1,2,2,4,2,2,2,1,2,4,2,2,2,1,3,4,4,4,4,4,2,2
"16",2.04358353510896,-1.07990314769976,5,6.4,3.16666666666667,2.48910411622276,6.9,-12.6997578692494,14.9975786924939,3.90314769975787,8.72881355932203,8.18886198547216,2.77966101694916,6.3317191283293,-2.04600484261501,7.4455205811138,-1,0,1,4,4,4,4,4,4,3,3,3,3,3,4,5,4,4,5,5,5,4,5,4,2,4,4,6,7,6,7,6,5,5
"17",7.04358353510896,-5.07990314769976,5,4.4,3.83333333333333,6.48910411622276,9.8,16.3002421307506,14.9975786924939,3.90314769975787,-5.27118644067797,-11.8111380145278,11.7796610169492,-0.668280871670703,-6.04600484261501,8.4455205811138,1,1,0,5,5,5,4,5,5,4,4,4,3,4,4,5,5,2,5,4,4,4,2,5,5,5,5,4,5,5,1,7,5,5
"18",3.04358353510896,0.920096852300244,2,4.2,2.83333333333333,0.489104116222759,8.5,3.3002421307506,5.99757869249395,-14.0968523002421,8.72881355932203,12.1888619854722,0.779661016949156,5.3317191283293,2.95399515738499,6.4455205811138,-1,0,1,5,5,5,2,4,4,4,2,4,3,1,3,4,3,3,5,5,5,3,2,4,2,2,4,3,6,3,3,6,2,2
"19",1.04358353510896,2.92009685230024,4.5,5,3.5,4.48910411622276,9.7,15.3002421307506,-8.00242130750605,-5.09685230024213,-15.271186440678,8.18886198547216,-8.22033898305084,-4.6682808716707,3.95399515738499,-2.5544794188862,1,1,0,3,4,2,5,5,4,4,4,4,1,4,4,4,2,2,2,3,2,2,2,4,2,1,2,5,5,5,5,5,5,4
"20",-6.95641646489104,-1.07990314769976,2,5,0.5,-13.5108958837772,9.7,15.3002421307506,-21.0024213075061,8.90314769975787,2.72881355932203,21.1888619854722,-17.2203389830508,12.3317191283293,-2.04600484261501,-12.5544794188862,-1,0,1,1,1,1,4,4,4,0,1,0,1,0,1,1,1,1,1,1,1,2,1,2,1,2,1,5,5,5,5,5,2,2
"21",2.04358353510896,4.92009685230024,4,7,3.66666666666667,5.48910411622276,8.9,7.3002421307506,2.99757869249395,-7.09685230024213,11.728813559322,-9.81113801452784,-0.220338983050844,-7.6682808716707,-5.04600484261501,-1.5544794188862,-1,0,1,4,4,4,5,5,2,3,4,4,4,3,4,1,2,1,2,4,4,4,4,4,5,4,4,7,7,7,7,7,4,4
"22",3.04358353510896,1.92009685230024,2.5,7,2.5,-1.51089588377724,8.3,1.3002421307506,1.99757869249395,-1.09685230024213,1.72881355932203,8.18886198547216,-11.2203389830508,-5.6682808716707,-6.04600484261501,-2.5544794188862,-1,0,1,4,4,4,4,4,5,3,1,3,2,3,3,3,4,4,4,4,3,4,2,2,2,3,3,7,7,7,7,7,2,3
"23",-3.95641646489104,-1.07990314769976,4.5,5.8,3.16666666666667,2.48910411622276,9,8.3002421307506,-12.0024213075061,-1.09685230024213,-10.271186440678,10.1888619854722,-11.2203389830508,8.3317191283293,2.95399515738499,-5.5544794188862,-1,0,1,2,2,2,4,4,4,4,2,3,2,4,4,2,1,2,2,2,1,2,1,4,2,2,3,6,6,7,5,5,5,4
"24",4.04358353510896,5.92009685230024,1.5,5.6,2.5,-1.51089588377724,9.7,15.3002421307506,10.9975786924939,4.90314769975787,5.72881355932203,-21.8111380145278,4.77966101694916,-12.6682808716707,-6.04600484261501,-1.5544794188862,-1,0,1,4,4,5,4,5,4,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,5,4,2,5,6,6,5,6,2,1
"25",0.043583535108958,-1.07990314769976,2,5.4,2.16666666666667,-3.51089588377724,7.4,-7.6997578692494,-6.00242130750605,6.90314769975787,-2.27118644067797,10.1888619854722,-13.2203389830508,-3.6682808716707,6.95399515738499,-3.5544794188862,-1,0,1,2,2,3,5,5,5,3,2,2,2,2,2,4,2,4,5,1,1,2,2,3,2,2,2,5,6,6,5,5,2,2
